"","Team","Games","Win-Loss","Off Rank","Off Plays","Off Yards","Off Yards/Play","Off TDs","Off Yards per Game","Def Rank","Def Plays","Yards Allowed","Yards/Play Allowed","Off TDs Allowed","Total TDs Allowed","Yards Per Game Allowed","First Down Rank","First Down Runs","First Down Passes","First Down Penalties","First Downs","First Down Def Rank","Opp First Down Runs","Opp First Down Passes","Opp First Down Penalties","Opp First Downs","4th Down Rank","4th Attempts","4th Conversions","4th Percent","4rd Down Def Rank","Opp 4th Conversion","Opp 4th Attempt","Opponent 4th Percent","Kickoff Return Rank","Kickoffs Returned","Kickoff Return Yards","Kickoff Return Touchdowns","Avg Yard per Kickoff Return","NA","Kickoff Return Def Rank","Opp Kickoff Returns","Kickoff Touchbacks","Opponent Kickoff Return Yards","Opp Kickoff Return Touchdowns Allowed","Avg Yards per Kickoff Return Allowed","Passing Off Rank","Pass Attempts","Pass Completions","Interceptions Thrown.x","Pass Yards","Pass Yards/Attempt","Yards/Completion","Pass Touchdowns","Pass Yards Per Game","Pass Def Rank","Opp Completions Allowed","Opp Pass Attempts","Opp Pass Yds Allowed","Opp Pass TDs Allowed","Yards/Attempt Allowed","Yards/Completion Allowed","Pass Yards Per Game Allowed","Penalty Rank","Penalties","Penalty Yards","Penalty Yards Per Game","Punt Return Rank","Punt Returns","Net Punt Return Yards","Punt Return Touchdowns","Avg Yards Per Punt Return","Punt Return Def Rank","Opp Punt Returns","Opp Net Punt Return Yards","Opp Punt Return Touchdowns Allowed","Avg Yards Allowed per Punt Return","Redzone Off Rank","Redzone Attempts","Redzone Rush TD","Redzone Pass TD","Redzone Field Goals Made","Redzone Scores","Redzone Points","Redzone Def Rank","Opp Redzone Attempts","Opp Redzone Rush TD Allowed","Opp Redzone Pass Touchdowns Allowed","Opp Redzone Field Goals Made","Opp Redzone Scores","Redzone Points Allowed","Rushing Off Rank","Rush Attempts","Rush Yds","Yards/Rush","Rushing TD","Rushing Yards per Game","Rushing Def Rank","Opp Rush Attempts","Opp Rush Yards Alloweed","Yds/Rush Allowed","Opp Rush Touchdowns Allowed","Rush Yards Per Game Allowed","Sack Rank","Sacks","Sack Yards","Average Sacks per Game","Scoring Def Rank","Touchdowns Allowed","Opponent Extra Points","2 Point Conversions Allowed","Opp Deflected Extra Points","Opp Feild Goals Made","Opp Safety","Points Allowed","Avg Points per Game Allowed","Scoring Off Rank","Touchdowns","PAT","2 Point Conversions","Defensive Points","Feild Goals","Safety","Total Points","Points Per Game","Tackle for Loss Rank","Solo Tackle For Loss","Assist Tackle For Loss","Tackle for Loss Yards","Total Tackle For Loss","Tackle For Loss Per Game","3rd Down Rank","3rd Attempts","3rd Conversions","3rd Percent","3rd Down Def Rank","Opp 3rd Conversion","Opp 3rd Attempt","Opponent 3rd Percent","Time of Possession Rank","Time of Possession","Average Time of Possession per Game","Turnover Rank","Fumbles Recovered","Opponents Intercepted","Turnovers Gain","Fumbles Lost","Interceptions Thrown.y","Turnovers Lost","Turnover Margin","Avg Turnover Margin per Game"
"121","Virginia (ACC)","12","6-6","3","892","6,189","6.94","52","515.8","121","844","5,592","6.63","47","48","466.0","103","119","132","30","281","103","119","132","30","281","103","8","19","0.421","90","12","20","0.600","109","11","61","263","1","23.91","109","11","61","263","1","23.91","2","553","350","12","4,711","8.52","13.46","31","392.6","87","225","376","2,882","26","7.66","12.81","240.2","79","77","681","56.75","97","16","157","0","9.81","97","16","157","0","9.81","54","60","18","20","13","51","0.850","28","51","13","13","13","39","0.765","105","339","1,478","4.36","21","123.2","123","468","2,710","5.79","21","225.8","119","40","232","3.33","104","48","45","1","0","15","1","382","31.8","21","52","50","2","0","15","2","415","34.6","114","38","28","181","52","4.3","14","159","73","0.459","90","66","161","0.410","40","   367:41","   30:38","87","7","8","15","6","12","18","-3","-0.25"
"122","Virginia Tech (ACC)","13","6-7","98","846","4,693","5.55","33","361.0","78","872","5,113","5.86","40","42","393.3","74","122","124","20","266","74","122","124","20","266","69","9","18","0.500","105","16","25","0.640","75","20","30","426","0","21.30","75","20","30","426","0","21.30","112","316","173","5","2,293","7.26","13.25","17","176.4","63","232","392","2,914","20","7.43","12.56","224.2","43","70","601","46.23","125","14","211","1","15.07","125","14","211","1","15.07","87","43","14","10","11","35","0.814","98","40","17","9","9","35","0.875","42","530","2,400","4.53","16","184.6","91","480","2,199","4.58","20","169.2","70","30","228","2.31","54","42","39","1","0","12","0","329","25.3","97","36","34","0","1","18","1","308","23.7","93","53","26","248","66","5.1","62","182","73","0.401","31","60","170","0.353","61","   389:14","   29:56","64","4","10","14","8","5","13","1","0.08"
"123","Wake Forest (ACC)","14","11-3","11","1,084","6,550","6.04","70","467.9","91","988","5,786","5.86","49","51","413.3","125","148","137","29","314","125","148","137","29","314","33","13","21","0.619","14","9","24","0.375","96","43","39","980","1","22.79","96","43","39","980","1","22.79","12","519","302","15","4,303","8.29","14.25","39","307.4","49","249","425","3,049","24","7.17","12.24","217.8","64","81","737","52.64","88","15","138","0","9.20","88","15","138","0","9.20","6","67","26","19","17","62","0.925","49","51","20","11","10","41","0.804","68","565","2,247","3.98","31","160.5","111","563","2,737","4.86","25","195.5","89","35","188","2.50","88","51","48","1","0","16","0","404","28.9","4","72","65","4","0","23","0","574","41.0","17","77","42","366","98","7.0","6","230","113","0.491","67","74","191","0.387","97","   401:17","   28:40","17","14","15","29","5","15","20","9","0.64"
"124","Washington (Pac-12)","12","4-8","114","779","3,881","4.98","31","323.4","23","806","4,043","5.02","27","30","336.9","8","127","77","13","217","8","127","77","13","217","97","10","23","0.435","88","10","17","0.588","51","15","31","304","0","20.27","51","15","31","304","0","20.27","73","409","243","16","2,700","6.60","11.11","15","225.0","1","194","317","1,720","6","5.43","8.87","143.3","12","52","479","39.92","115","25","279","0","11.16","115","25","279","0","11.16","9","38","15","9","11","35","0.921","33","45","18","4","13","35","0.778","125","370","1,181","3.19","16","98.4","108","489","2,323","4.75","21","193.6","44","23","139","1.92","36","30","30","0","0","20","1","272","22.7","107","32","29","1","0","11","1","258","21.5","89","57","10","235","62","5.2","27","169","75","0.444","35","61","171","0.357","99","   343:32","   28:38","118","5","10","15","7","16","23","-8","-0.67"
"125","Washington St. (Pac-12)","13","7-6","81","856","4,922","5.75","45","378.6","63","889","4,905","5.52","36","38","377.3","79","123","128","17","268","79","123","128","17","268","114","9","24","0.375","38","10","23","0.435","97","31","25","707","0","22.81","97","31","25","707","0","22.81","38","452","281","13","3,345","7.40","11.90","26","257.3","47","260","434","2,818","16","6.49","10.84","216.8","44","69","603","46.38","102","15","152","0","10.13","102","15","152","0","10.13","99","55","16","15","12","43","0.782","10","50","18","10","8","36","0.720","107","404","1,577","3.90","19","121.3","80","455","2,087","4.59","20","160.5","80","31","248","2.38","47","38","32","4","0","15","1","315","24.2","71","46","42","0","0","14","1","362","27.8","91","42","50","233","67","5.2","71","170","67","0.394","59","66","174","0.379","42","   397:06","   30:33","7","14","15","29","5","13","18","11","0.85"
"126","West Virginia (Big 12)","13","6-7","88","899","4,827","5.37","38","371.3","37","820","4,551","5.55","32","36","350.1","18","97","113","15","225","18","97","113","15","225","15","19","28","0.679","18","10","25","0.400","79","41","12","891","1","21.73","79","41","12","891","1","21.73","56","447","290","12","3,223","7.21","11.11","19","247.9","39","236","368","2,750","17","7.47","11.65","211.5","23","67","561","43.15","49","11","71","1","6.45","49","11","71","1","6.45","18","50","17","16","12","45","0.900","5","50","12","9","14","35","0.700","102","452","1,604","3.55","19","123.4","42","452","1,801","3.98","15","138.5","111","38","294","2.92","45","36","33","2","0","19","0","310","23.8","88","39","37","0","0","19","0","328","25.2","39","71","26","324","84","6.5","68","186","74","0.398","29","60","173","0.347","23","   407:13","   31:19","97","5","9","14","7","12","19","-5","-0.38"
"127","Western Ky. (C-USA)","14","9-5","2","1,045","7,494","7.17","76","535.3","109","1,083","6,101","5.63","51","53","435.8","129","139","169","24","332","129","139","169","24","332","69","11","22","0.500","40","18","41","0.439","27","33","63","613","0","18.58","27","33","63","613","0","18.58","1","698","480","12","6,072","8.70","12.65","63","433.7","118","316","519","3,753","23","7.23","11.88","268.1","69","95","758","54.14","128","14","260","1","18.57","128","14","260","1","18.57","13","77","12","40","18","70","0.909","62","52","24","7","12","43","0.827","121","347","1,422","4.10","13","101.6","90","564","2,348","4.16","28","167.7","12","17","123","1.21","92","53","51","0","0","14","0","411","29.4","2","79","72","2","0","23","0","619","44.2","61","63","38","357","82","5.9","10","174","81","0.466","112","92","211","0.436","113","   389:28","   27:49","12","10","21","31","8","12","20","11","0.79"
"128","Western Mich. (MAC)","13","8-5","12","959","6,063","6.32","54","466.4","18","741","4,283","5.78","40","46","329.5","13","105","96","21","222","13","105","96","21","222","87","12","26","0.462","115","15","22","0.682","74","52","16","1,105","1","21.25","74","52","16","1,105","1","21.25","49","369","233","6","3,297","8.93","14.15","23","253.6","10","177","321","2,423","23","7.55","13.69","186.4","89","89","766","58.92","130","16","318","2","19.88","130","16","318","2","19.88","74","54","26","7","12","45","0.833","98","40","10","10","15","35","0.875","17","590","2,766","4.69","31","212.8","50","420","1,860","4.43","17","143.1","64","29","206","2.23","81","46","41","1","0","16","0","367","28.2","34","56","50","0","0","12","0","422","32.5","34","65","40","404","85","6.5","18","182","83","0.456","2","41","153","0.268","4","   458:27","   35:16","70","10","4","14","8","6","14","0","0.00"
"129","Wisconsin (Big Ten)","13","9-4","89","867","4,824","5.56","37","371.1","1","746","3,108","4.17","19","25","239.1","1","55","98","17","170","1","55","98","17","170","62","11","21","0.524","26","11","27","0.407","39","31","22","594","1","19.16","39","31","22","594","1","19.16","120","300","177","13","2,082","6.94","11.76","11","160.2","4","193","348","2,266","9","6.51","11.74","174.3","24","70","567","43.62","66","21","163","0","7.76","66","21","163","0","7.76","88","52","20","8","14","42","0.808","21","32","10","5","9","24","0.750","21","567","2,742","4.84","26","210.9","1","398","842","2.12","10","64.8","15","17","137","1.31","4","25","22","1","0","12","0","210","16.2","85","40","39","0","0","17","0","330","25.4","22","72","36","367","90","6.9","111","169","57","0.337","3","48","167","0.287","8","   434:02","   33:23","64","8","16","24","10","13","23","1","0.08"
"130","Wyoming (Mountain West)","13","7-6","84","840","4,867","5.79","39","374.4","55","892","4,815","5.40","38","38","370.4","51","121","117","15","253","51","121","117","15","253","120","7","20","0.350","6","8","25","0.320","64","31","29","651","0","21.00","64","31","29","651","0","21.00","117","297","162","12","2,115","7.12","13.06","15","162.7","12","220","378","2,467","21","6.53","11.21","189.8","28","66","584","44.92","87","16","146","0","9.12","87","16","146","0","9.12","43","37","16","7","9","32","0.865","93","45","16","12","11","39","0.867","20","543","2,752","5.07","24","211.7","98","514","2,348","4.57","17","180.6","31","22","144","1.69","43","38","32","0","0","16","0","308","23.7","85","43","40","1","0","10","0","330","25.4","112","45","24","251","57","4.4","36","173","75","0.434","100","79","189","0.418","62","   389:13","   29:56","83","5","10","15","6","12","18","-3","-0.23"
